$time_passes,$gvn,$instcombine,$inline,$jump_threading,$simplifycfg,$sccp,$print_used_types,$ipsccp,$iv_users,$licm,$<performance
1,0,0,0,0,0,0,0,0,0,0,38.4179044853383
1,0,0,0,0,0,1,0,0,1,0,62.3502855843184
1,0,0,1,0,1,0,0,1,1,0,122.58770663050592
1,0,1,1,1,1,0,1,1,1,1,160.80818652079012
1,1,1,1,1,1,0,0,0,0,1,145.2494285144554
1,1,1,1,1,1,0,0,0,1,1,182.0245572389035
1,1,1,1,1,1,0,1,0,0,1,130.10051313316518
1,1,1,1,1,1,0,1,0,1,1,166.8756418576133
1,1,1,1,1,1,0,0,1,0,1,157.2468191597243
1,1,1,1,1,1,0,1,1,0,1,142.0979037784341
1,1,1,1,1,1,0,0,1,1,1,194.02194788417242
1,1,1,1,1,1,0,1,1,1,1,178.8730325028822
1,0,1,1,1,1,1,0,0,0,1,114.34183490689529
1,0,0,1,0,1,0,1,0,0,0,53.43506926313869
1,0,1,1,1,1,1,0,0,1,1,151.1169636313434
1,0,1,1,1,1,1,0,1,0,1,134.8481111497542
1,0,1,1,1,1,1,0,1,1,1,171.6232398742023
1,1,1,1,1,1,1,0,0,0,1,132.40668088898738
1,1,1,1,1,1,1,0,1,0,1,152.9129571318463
1,1,1,1,1,1,1,0,0,1,1,169.1818096134355
1,1,1,1,1,1,1,0,1,1,1,189.6880858562944
1,0,1,1,1,1,1,1,0,0,1,99.19291952560509
1,0,1,1,1,1,1,1,0,1,1,135.9680482500532
1,1,1,1,1,1,1,1,0,0,1,117.25776550769719
1,0,0,1,0,1,0,1,1,0,0,70.6636625247676
1,1,1,1,1,1,1,1,0,1,1,154.03289423214528
1,0,1,1,1,1,1,1,1,0,1,119.69919576846401
1,1,1,1,1,1,1,1,1,0,1,137.7640417505561
1,0,1,1,1,1,1,1,1,1,1,156.4743244929121
1,1,1,1,1,1,1,1,1,1,1,174.5391704750042
1,0,0,1,0,1,0,1,0,1,0,90.2101979875868
1,0,0,1,0,1,0,1,1,1,0,107.43879124921571
1,0,0,1,1,1,0,0,0,0,0,76.48599056272238
1,0,0,1,1,1,0,0,0,1,0,113.26111928717049
1,0,0,1,1,1,0,1,0,0,0,61.337075181432176
1,0,0,1,1,1,0,1,0,1,0,98.11220390588028
1,0,0,1,1,1,0,0,1,0,0,93.71458382435131
1,0,0,0,0,0,1,1,0,0,0,10.426241478580097
1,0,0,1,1,1,0,1,1,0,0,78.56566844306111
1,0,0,1,1,1,0,0,1,1,0,130.48971254879942
1,0,0,1,1,1,0,1,1,1,0,115.34079716750921
1,0,0,1,0,1,1,0,0,0,0,55.741237018960895
1,0,0,1,0,1,1,0,0,1,0,92.516365743409
1,0,0,1,0,1,1,0,1,0,0,81.4787158781798
1,0,0,1,0,1,1,0,1,1,0,118.25384460262791
1,0,0,1,1,1,1,0,0,0,0,63.64324293725438
1,0,0,1,1,1,1,0,1,0,0,89.3807217964733
1,0,0,1,1,1,1,0,0,1,0,100.41837166170248
1,0,0,0,0,0,1,1,0,1,0,47.2013702030282
1,0,0,1,1,1,1,0,1,1,0,126.1558505209214
1,0,0,1,0,1,1,1,0,0,0,40.59232163767069
1,0,0,1,0,1,1,1,0,1,0,77.3674503621188
1,0,0,1,1,1,1,1,0,0,0,48.494327555964176
1,0,0,1,1,1,1,1,0,1,0,85.26945628041227
