$Base,$HostnameLookups,$KeepAlive,$EnableSendfile,$FollowSymLinks,$AccessLog,$ExtendedStatus,$InMemory,$Handle,$<performance
1,0,0,1,0,1,1,1,0,2956.7091350558885
1,0,1,1,0,1,0,1,0,3691.5299061717237
1,1,0,1,0,1,0,1,0,3193.2743139511535
1,0,1,1,0,1,1,1,0,3591.4014037279057
1,1,0,1,0,0,0,1,0,2226.5058766841694
1,1,1,1,0,0,0,1,0,2794.0209034475865
1,1,1,1,0,1,0,1,0,3827.966582623171
1,1,0,1,0,0,1,1,0,2126.3773742403514
1,0,0,0,1,1,0,0,0,2257.6897511624934
1,1,0,1,0,1,1,1,0,3093.1458115073356
1,0,0,0,0,0,0,0,0,1477.974543283446
1,0,1,0,1,0,0,0,0,1362.2995074989262
1,0,1,1,0,0,1,1,0,2557.4557245523215
1,0,0,1,0,1,0,1,0,3056.8376374997065
1,1,1,1,0,0,1,1,0,2693.8924010037686
1,1,1,1,0,1,1,1,0,3727.838080179353
1,0,0,1,1,0,0,1,0,1903.0159708447852
1,0,1,1,1,0,0,1,0,2470.5309976082026
1,0,0,1,1,0,1,1,0,1802.8874684009672
1,0,1,1,1,0,1,1,0,2370.4024951643846
1,1,0,1,1,0,0,1,0,2025.805760577932
1,1,0,1,1,0,1,1,0,2012.9296726768146
1,1,1,1,1,0,0,1,0,2593.3207873413494
1,0,1,0,1,1,0,0,0,2396.24518667451
1,1,1,1,1,0,1,1,0,2580.4446994402315
1,0,0,1,1,1,0,1,0,2869.7844081117696
1,0,1,1,1,1,0,1,0,3504.476676783787
1,1,0,1,1,1,0,1,0,2992.5741978449164
1,1,1,1,1,1,0,1,0,3627.2664665169336
1,0,0,1,1,1,1,1,0,2769.6559056679516
1,1,0,1,1,1,1,1,0,2979.698109943799
1,0,1,1,1,1,1,1,0,3404.348174339969
1,1,1,1,1,1,1,1,0,3614.3903786158153
1,0,0,0,0,0,0,0,1,1565.1898545352399
1,0,0,0,1,0,1,0,0,1190.7928114516913
1,0,0,0,0,0,1,0,1,1260.4438863644218
1,0,0,0,0,1,0,0,1,2531.9582918022243
1,0,0,0,0,1,1,0,1,2227.212323631406
1,0,0,0,1,0,0,0,1,1378.136625147303
1,0,0,0,1,1,0,0,1,2344.9050624142874
1,0,0,0,1,0,1,0,1,1073.3906569764847
1,0,0,0,1,1,1,0,1,2040.1590942434689
1,0,0,1,0,0,0,0,1,2574.6161018737903
1,0,0,1,0,0,1,0,1,2269.8701337029725
1,0,0,1,1,0,0,0,1,2387.5628724858534
1,0,0,0,1,1,1,0,0,2157.5612487186754
1,0,0,1,1,0,1,0,1,2082.8169043150356
1,0,0,1,0,1,0,0,1,3541.3845391407745
1,0,0,1,1,1,0,0,1,3354.3313097528376
1,0,0,1,0,1,1,0,1,3236.6385709699566
1,0,0,1,1,1,1,0,1,3049.5853415820197
1,0,1,0,0,0,0,0,1,1636.5680481386569
1,0,1,0,0,0,1,0,1,1331.8220799678388
1,0,1,0,0,1,0,0,1,2670.513727314241
1,0,1,0,0,1,1,0,1,2365.767759143423
1,0,1,1,0,0,0,0,1,2811.238453899207
1,0,1,0,1,0,1,0,0,1262.1710050551083
1,0,1,1,0,1,0,0,1,3845.184133074791
1,0,1,1,0,0,1,0,1,2506.4924857283895
1,0,1,1,0,1,1,0,1,3540.4381649039733
1,0,1,0,1,0,0,0,1,1449.51481875072
1,0,1,0,1,0,1,0,1,1144.7688505799017
1,0,1,1,1,0,0,0,1,2624.18522451127
1,0,1,1,1,0,1,0,1,2319.4392563404526
1,0,1,0,1,1,0,0,1,2483.460497926304
1,0,1,1,1,1,0,0,1,3658.1309036868543
1,0,1,0,1,1,1,0,1,2178.714529755486
1,0,1,0,1,1,1,0,0,2296.116684230692
1,0,1,1,1,1,1,0,1,3353.3849355160364
1,1,0,0,0,0,0,0,1,1701.626530986687
1,1,0,0,0,0,1,0,1,1396.8805628158689
1,1,0,0,0,1,0,0,1,2668.3949682536713
1,1,0,0,0,1,1,0,1,2363.649000082853
1,1,0,0,1,0,0,0,1,1514.57330159875
1,1,0,0,1,1,0,0,1,2481.3417388657344
1,1,0,0,1,0,1,0,1,1297.0797479706318
1,1,0,0,1,1,1,0,1,2263.8481852376162
1,1,1,0,0,0,0,0,1,1773.004724590104
1,0,0,1,0,0,0,0,0,2487.4007906219963
1,1,1,0,0,0,1,0,1,1468.2587564192859
1,1,1,0,1,0,0,0,1,1585.951495202167
1,1,1,0,1,0,1,0,1,1368.4579415740488
1,1,1,0,0,1,0,0,1,2806.950403765688
1,1,1,0,1,1,0,0,1,2619.897174377751
1,1,1,0,0,1,1,0,1,2502.20443559487
1,1,1,0,1,1,1,0,1,2402.4036207496333
1,1,0,1,0,0,0,0,1,2711.0527783252373
1,1,0,1,0,0,1,0,1,2406.3068101544195
1,1,0,1,0,1,0,0,1,3677.8212155922215
1,0,1,1,0,0,0,0,0,2724.023142647413
1,1,0,1,0,1,1,0,1,3373.0752474214037
1,1,1,1,0,0,0,0,1,2947.675130350654
1,1,1,1,0,1,0,0,1,3981.620809526238
1,1,1,1,0,0,1,0,1,2642.9291621798366
1,1,1,1,0,1,1,0,1,3676.8748413554204
1,1,0,1,1,0,0,0,1,2523.9995489373005
1,1,0,1,1,0,1,0,1,2306.5059953091823
1,1,1,1,1,0,0,0,1,2760.621900962717
1,1,1,1,1,0,1,0,1,2543.1283473345993
1,1,0,1,1,1,0,0,1,3490.7679862042846
1,0,0,1,0,0,1,0,0,2387.2722881781783
1,1,1,1,1,1,0,0,1,3794.5675801383013
1,1,0,1,1,1,1,0,1,3273.2744325761664
1,1,1,1,1,1,1,0,1,3577.0740265101836
1,0,1,0,0,0,0,0,0,1549.352736886863
1,0,1,1,0,0,1,0,0,2623.894640203595
1,0,0,1,1,0,0,0,0,2300.3475612340594
1,0,0,1,1,0,1,0,0,2200.2190587902414
1,0,1,1,1,0,0,0,0,2536.969913259476
1,0,1,1,1,0,1,0,0,2436.841410815658
1,0,0,1,0,1,0,0,0,3454.1692278889805
1,0,1,1,0,1,0,0,0,3757.968821822997
1,0,0,1,1,1,0,0,0,3267.1159985010436
1,0,1,1,1,1,0,0,0,3570.9155924350603
1,0,0,1,0,1,1,0,0,3354.0407254451625
1,0,0,0,0,0,1,0,0,1377.8460408396281
1,0,0,1,1,1,1,0,0,3166.9874960572256
1,0,1,1,0,1,1,0,0,3657.840319379179
1,0,1,1,1,1,1,0,0,3470.7870899912423
1,1,0,0,0,0,0,0,0,1614.4112197348932
1,1,1,0,0,0,0,0,0,1685.7894133383102
1,1,0,0,0,0,1,0,0,1514.2827172910752
1,1,1,0,0,0,1,0,0,1585.6609108944922
1,1,0,0,0,1,0,0,0,2581.1796570018773
1,1,0,0,0,1,1,0,0,2481.0511545580594
1,1,1,0,0,1,0,0,0,2719.735092513894
1,0,1,0,0,0,1,0,0,1449.2242344430451
1,1,1,0,0,1,1,0,0,2619.606590070076
1,1,0,1,0,0,0,0,0,2623.8374670734433
1,1,1,1,0,0,0,0,0,2860.45981909886
1,1,0,1,0,1,0,0,0,3590.6059043404275
1,1,1,1,0,1,0,0,0,3894.405498274444
1,1,0,1,0,0,1,0,0,2523.7089646296254
1,1,0,1,0,1,1,0,0,3490.4774018966095
1,1,1,1,0,0,1,0,0,2760.331316655042
1,1,1,1,0,1,1,0,0,3794.276995830626
1,1,0,0,1,0,0,0,0,1427.3579903469563
1,0,0,0,0,1,0,0,0,2444.7429805504303
1,1,1,0,1,0,0,0,0,1498.7361839503733
1,1,0,0,1,0,1,0,0,1414.4819024458384
1,1,1,0,1,0,1,0,0,1485.860096049255
1,1,0,1,1,0,0,0,0,2436.7842376855065
1,1,0,1,1,0,1,0,0,2423.9081497843886
1,1,1,1,1,0,0,0,0,2673.406589710923
1,1,1,1,1,0,1,0,0,2660.5305018098056
1,1,0,0,1,1,0,0,0,2394.1264276139405
1,1,1,0,1,1,0,0,0,2532.681863125957
1,1,0,1,1,1,0,0,0,3403.5526749524906
1,0,0,0,0,1,1,0,0,2344.6144781066123
1,1,1,1,1,1,0,0,0,3707.3522688865073
1,1,0,0,1,1,1,0,0,2381.2503397128226
1,1,0,1,1,1,1,0,0,3390.6765870513727
1,1,1,0,1,1,1,0,0,2519.805775224839
1,1,1,1,1,1,1,0,0,3694.47618098539
1,0,0,0,0,0,0,1,0,1080.642952894172
1,0,1,0,0,0,0,1,0,1482.9138212355888
1,0,0,0,0,0,1,1,0,980.514450450354
1,0,1,0,0,0,1,1,0,1382.7853187917708
1,0,0,0,0,1,0,1,0,2047.411390161156
1,0,1,0,0,1,0,0,0,2583.298416062447
1,0,0,0,0,1,1,1,0,1947.282887717338
1,0,1,0,0,1,0,1,0,2516.859500411173
1,0,1,0,0,1,1,1,0,2416.730997967355
1,0,0,0,1,0,0,1,0,893.5897235062351
1,0,1,0,1,0,0,1,0,1295.8605918476517
1,0,0,0,1,1,0,1,0,1860.3581607732192
