$time_passes,$gvn,$instcombine,$inline,$jump_threading,$simplifycfg,$sccp,$print_used_types,$ipsccp,$iv_users,$licm,$<performance
1,0,0,0,0,0,0,0,0,0,0,38.4179044853383
1,0,0,0,0,0,1,0,0,1,0,64.08751750328841
1,0,0,1,0,1,0,0,1,1,0,64.0658366935159
1,0,1,1,1,1,0,1,1,1,1,157.4985805425501
1,1,1,1,1,1,0,0,0,0,1,187.2807260059454
1,1,1,1,1,1,0,0,0,1,1,173.2870779671935
1,1,1,1,1,1,0,1,0,0,1,212.95235184295518
1,1,1,1,1,1,0,1,0,1,1,177.6787863944033
1,1,1,1,1,1,0,0,1,0,1,196.7562260937843
1,1,1,1,1,1,0,1,1,0,1,222.42785193079408
1,1,1,1,1,1,0,0,1,1,1,182.7625780550324
1,1,1,1,1,1,0,1,1,1,1,187.15428648224218
1,0,1,1,1,1,1,0,0,0,1,95.52983769435528
1,0,0,1,0,1,0,1,0,0,0,88.05292671153872
1,0,1,1,1,1,1,0,0,1,1,81.5361896556034
1,0,1,1,1,1,1,0,1,0,1,105.00533778219418
1,0,1,1,1,1,1,0,1,1,1,91.01168974344229
1,1,1,1,1,1,1,0,0,0,1,109.36269142054738
1,1,1,1,1,1,1,0,1,0,1,118.8381915083863
1,1,1,1,1,1,1,0,0,1,1,95.36904338179548
1,1,1,1,1,1,1,0,1,1,1,104.84454346963437
1,0,1,1,1,1,1,1,0,0,1,147.47829196456507
1,0,1,1,1,1,1,1,0,1,1,112.20472651601318
1,1,1,1,1,1,1,1,0,0,1,161.3111456907572
1,0,0,1,0,1,0,1,1,0,0,97.52842679937761
1,1,1,1,1,1,1,1,0,1,1,126.03758024220528
1,0,1,1,1,1,1,1,1,0,1,156.953792052404
1,1,1,1,1,1,1,1,1,0,1,170.78664577859607
1,0,1,1,1,1,1,1,1,1,1,121.68022660385208
1,1,1,1,1,1,1,1,1,1,1,135.51308033004418
1,0,0,1,0,1,0,1,0,1,0,52.7793612629868
1,0,0,1,0,1,0,1,1,1,0,62.25486135082569
1,0,0,1,1,1,0,0,0,0,0,76.48599056272238
