$Base,$HostnameLookups,$KeepAlive,$EnableSendfile,$FollowSymLinks,$AccessLog,$ExtendedStatus,$InMemory,$Handle,$<performance
1,0,0,1,0,1,1,1,0,3396.1106074234376
1,0,1,1,0,1,0,1,0,3690.8059972456726
1,1,0,1,0,1,0,1,0,3624.9972068488023
1,0,1,1,0,1,1,1,0,3794.9530867308545
1,1,0,1,0,0,0,1,0,2546.8405881948183
1,1,1,1,0,0,0,1,0,2721.874401130235
1,1,1,1,0,1,0,1,0,3844.8126448822195
1,1,0,1,0,0,1,1,0,2471.9606364060005
1,0,0,0,1,1,0,0,0,2399.1870854894933
1,1,0,1,0,1,1,1,0,3550.1172550599845
1,0,0,0,0,0,0,0,0,1477.974543283446
1,0,1,0,1,0,0,0,0,1436.5152509500263
1,0,1,1,0,0,1,1,0,2672.01484297887
1,0,0,1,0,1,0,1,0,3470.9905592122554
1,1,1,1,0,0,1,1,0,2702.2026400784175
1,1,1,1,0,1,1,1,0,3825.1408838304014
1,0,0,1,1,0,0,1,0,2161.2240092702345
1,0,1,1,1,0,0,1,0,2306.8179463247516
1,0,0,1,1,0,1,1,0,1989.4814258554163
1,0,1,1,1,0,1,1,0,2314.1024041839332
1,1,0,1,1,0,0,1,0,2315.2306569067814
1,1,0,1,1,0,1,1,0,2143.4880734919634
1,1,1,1,1,0,0,1,0,2460.8245939612984
1,0,1,0,1,1,0,0,0,2589.5626476420102
1,1,1,1,1,0,1,1,0,2344.2902012834807
1,0,0,1,1,1,0,1,0,3380.877962251219
1,0,1,1,1,1,0,1,0,3571.253524403736
1,1,0,1,1,1,0,1,0,3534.8846098877657
1,1,1,1,1,1,0,1,0,3725.260172040282
1,0,0,1,1,1,1,1,0,3209.1353788364004
1,1,0,1,1,1,1,1,0,3363.1420264729477
1,0,1,1,1,1,1,1,0,3578.5379822629175
1,1,1,1,1,1,1,1,0,3608.725779362465
1,0,0,0,0,0,0,0,1,1647.1472280363398
1,0,0,0,1,0,1,0,0,1216.041362106691
1,0,0,0,0,0,1,0,1,1572.2672762475217
1,0,0,0,0,1,0,0,1,2613.915665303324
1,0,0,0,0,1,1,0,1,2539.035713514506
1,0,0,0,1,0,0,0,1,1460.093998648403
1,0,0,0,1,1,0,0,1,2568.359770242387
1,0,0,0,1,0,1,0,1,1385.2140468595846
1,0,0,0,1,1,1,0,1,2493.4798184535694
1,0,0,1,0,0,0,0,1,2984.60414825559
1,0,0,1,0,0,1,0,1,2909.7241964667724
1,0,0,1,1,0,0,0,1,2752.9942169675533
1,0,0,0,1,1,1,0,0,2324.3071337006754
1,0,0,1,1,0,1,0,1,2678.1142651787354
1,0,0,1,0,1,0,0,1,3951.3725855225744
1,0,0,1,1,1,0,0,1,3861.2599885615373
1,0,0,1,0,1,1,0,1,3876.4926337337565
1,0,0,1,1,1,1,0,1,3786.3800367727194
1,0,1,0,0,0,0,0,1,1584.4484595397569
1,0,1,0,0,0,1,0,1,1509.5685077509388
1,0,1,0,0,1,0,0,1,2595.998521904741
1,0,1,0,0,1,1,0,1,2521.118570115923
1,0,1,1,0,0,0,0,1,2921.9053797590072
1,0,1,0,1,0,1,0,0,1361.635299161208
1,0,1,1,0,1,0,0,1,3933.4554421239914
1,0,1,1,0,0,1,0,1,2847.0254279701894
1,0,1,1,0,1,1,0,1,3858.575490335173
1,0,1,0,1,0,0,0,1,1367.9553542709198
1,0,1,0,1,0,1,0,1,1293.075402482102
1,0,1,1,1,0,0,0,1,2660.85557259007
1,0,1,1,1,0,1,0,1,2585.9756208012523
1,0,1,0,1,1,0,0,1,2521.0027509629044
1,0,1,1,1,1,0,0,1,3813.9029692820545
1,0,1,0,1,1,1,0,1,2446.122799174086
1,0,1,0,1,1,1,0,0,2514.6826958531924
1,0,1,1,1,1,1,0,1,3739.0230174932362
1,1,0,0,0,0,0,0,1,1728.7026239398867
1,1,0,0,0,0,1,0,1,1653.822672151069
1,1,0,0,0,1,0,0,1,2695.471061206871
1,1,0,0,0,1,1,0,1,2620.5911094180533
1,1,0,0,1,0,0,0,1,1541.6493945519499
1,1,0,0,1,1,0,0,1,2649.915166145934
1,1,0,0,1,0,1,0,1,1466.769442763132
1,1,0,0,1,1,1,0,1,2575.0352143571163
1,1,1,0,0,0,0,0,1,1666.0038554433038
1,0,0,1,0,0,0,0,0,2544.298774589696
1,1,1,0,0,0,1,0,1,1467.3050531174858
1,1,1,0,1,0,0,0,1,1449.5107501744667
1,1,1,0,1,0,1,0,1,1250.811947848649
1,1,1,0,0,1,0,0,1,2677.553917808288
1,1,1,0,1,1,0,0,1,2602.5581468664514
1,1,1,0,0,1,1,0,1,2478.85511548247
1,1,1,0,1,1,1,0,1,2403.859344540633
1,1,0,1,0,0,0,0,1,3255.3626122081373
1,1,0,1,0,0,1,0,1,3180.4826604193195
1,1,0,1,0,1,0,0,1,4222.131049475121
1,0,1,1,0,0,0,0,0,2719.332587525113
1,1,0,1,0,1,1,0,1,4147.251097686303
1,1,1,1,0,0,0,0,1,3192.663843711554
1,1,1,1,0,1,0,0,1,4204.213906076538
1,1,1,1,0,0,1,0,1,2993.965041385736
1,1,1,1,0,1,1,0,1,4005.5151037507208
1,1,0,1,1,0,0,0,1,3023.7526809201004
1,1,0,1,1,0,1,0,1,2948.8727291312825
1,1,1,1,1,0,0,0,1,2931.614036542617
1,1,1,1,1,0,1,0,1,2732.915234216799
1,1,0,1,1,1,0,0,1,4132.018452514084
1,0,0,1,0,0,1,0,0,2469.4188228008784
1,1,1,1,1,1,0,0,1,4084.661433234601
1,1,0,1,1,1,1,0,1,4057.1385007252666
1,1,1,1,1,1,1,0,1,3885.9626309087835
