$CS16MB,$CS32MB,$HAVE_SEQUENCE,$HAVE_CRYPTO,$PAGESIZE,$PS1K,$HAVE_REPLICATION,$CS64MB,$DIAGNOSTIC,$HAVE_HASH,$PS4K,$CS512MB,$PS16K,$CACHESIZE,$HAVE_VERIFY,$PS32K,$HAVE_STATISTICS,$PS8K,$<MainMemory
0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1620.8
0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1646.8
0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1702.4
0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1586.8
0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1686.4
0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1617.2
0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1702.0
0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1612.4
0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1710.0
0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1710.4
0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1633.2
0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1618.0
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1666.0
0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1611.6
0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1609.6
0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1678.8
0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1621.6
0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1742.0
0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1754.0
0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1627.6
0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1659.2
0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1673.2
0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1621.6
0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1749.6
0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1682.4
0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1651.6
0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1673.2
0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1766.4
0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1628.0
0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1675.2
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1582.0
0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1610.4
0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1581.2
0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1616.4
0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1597.6
0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1637.6
0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1577.2
0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1615.6
0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1624.0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1593.2
0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1639.6
0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1605.2
0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1634.0
0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1557.6
0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1594.0
0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1616.4
0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1686.0
0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1632.4
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1612.4
0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1629.6
0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1608.4
0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1655.6
0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1619.2
0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1621.6
0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1682.4
0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1661.6
0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1615.6
0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1674.0
0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1658.0
0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1612.8
0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1656.0
0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1624.4
0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1620.0
0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1666.8
0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1672.8
0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1589.6
0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1616.4
0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1588.8
0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1683.2
0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1617.2
0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1606.4
0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1574.4
0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1636.4
0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1627.6
0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1630.8
0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1715.6
0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1639.6
0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1724.0
0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1612.4
0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1666.8
0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1620.0
0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1636.4
