$InterTypeFields,$InterTypeConstructors,$AspectConstructors,$InterfaceMethods,$Advice,$ClassFields,$CodeFormatter,$AspectFields,$States,$InterfaceFields,$Base,$InterTypeMethods,$Classes,$ClassMethods,$Aspects,$AspectMethods,$Interfaces,$ClassConstructors,$Pointcuts,$<AnalysisTime
1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,11836.5
0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,11674.4
1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,11779.7
0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,11755.7
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11896.5
0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,11844.0
0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11975.5
1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11828.0
1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,11888.5
0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,12024.5
1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,11841.5
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,12014.5
0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11834.0
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,12071.0
1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11902.0
1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11879.5
0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,11777.0
1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,12273.5
0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,11890.0
1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,11838.5
0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,12015.0
0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,11868.0
1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,11913.5
1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,11938.0
1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,11884.0
0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,11903.0
0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,11834.5
0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,11843.0
1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,11927.0
0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,11816.5
1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,12021.5
0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,12125.0
1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,11935.0
0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,12238.5
0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,11795.5
1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,11797.0
1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,11704.5
1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,11811.0
0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,11912.0
1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,11939.0
0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,11795.5
0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,11906.5
1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,11947.0
0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,12033.5
1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,12066.5
0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,11967.5
1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,11915.0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,11963.5
1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,11973.0
0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,11896.0
1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,11919.0
0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,12088.0
0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,11793.0
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,11955.5
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,12168.5
1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,12082.5
0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,11941.5
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,11927.0
0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,11926.0
0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,11850.0
1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,11891.5
0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,11827.0
1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,11807.5
1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,11939.0
0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,11811.0
1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,11828.0
1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,11859.5
0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,11911.5
0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,11833.5
0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,11872.5
0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,11831.0
1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,11892.5
0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,11760.0
1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,11907.0
