$time_passes,$gvn,$instcombine,$inline,$jump_threading,$simplifycfg,$sccp,$print_used_types,$ipsccp,$iv_users,$licm,$<performance
1,0,0,0,0,0,0,0,0,0,0,38.4179044853383
1,0,0,0,0,0,1,0,0,1,0,62.3502855843184
1,0,0,1,0,1,0,0,1,1,0,113.7772278754959
1,0,1,1,1,1,0,1,1,1,1,252.03835808964007
1,1,1,1,1,1,0,0,0,0,1,224.8596689627554
1,1,1,1,1,1,0,0,0,1,1,261.6347976872035
1,1,1,1,1,1,0,1,0,0,1,209.71075358146518
1,1,1,1,1,1,0,1,0,1,1,246.4858823059133
1,1,1,1,1,1,0,0,1,0,1,233.2777834693743
1,1,1,1,1,1,0,1,1,0,1,218.1288680880841
1,1,1,1,1,1,0,0,1,1,1,270.0529121938224
1,1,1,1,1,1,0,1,1,1,1,254.9039968125322
1,0,1,1,1,1,1,0,0,0,1,204.51835776897528
1,0,0,1,0,1,0,1,0,0,0,53.43506926313869
1,0,1,1,1,1,1,0,0,1,1,241.2934864934234
1,0,1,1,1,1,1,0,1,0,1,230.72369102469418
1,0,1,1,1,1,1,0,1,1,1,267.4988197491423
1,1,1,1,1,1,1,0,0,0,1,207.38399649186738
1,1,1,1,1,1,1,0,1,0,1,233.58932974758628
1,1,1,1,1,1,1,0,0,1,1,244.1591252163155
1,1,1,1,1,1,1,0,1,1,1,270.36445847203436
1,0,1,1,1,1,1,1,0,0,1,189.36944238768507
1,0,1,1,1,1,1,1,0,1,1,226.14457111213318
1,1,1,1,1,1,1,1,0,0,1,192.23508111057717
1,0,0,1,0,1,0,1,1,0,0,61.85318376975759
1,1,1,1,1,1,1,1,0,1,1,229.01020983502528
1,0,1,1,1,1,1,1,1,0,1,215.57477564340397
1,1,1,1,1,1,1,1,1,0,1,218.44041436629607
1,0,1,1,1,1,1,1,1,1,1,252.34990436785208
1,1,1,1,1,1,1,1,1,1,1,255.21554309074418
1,0,0,1,0,1,0,1,0,1,0,90.2101979875868
1,0,0,1,0,1,0,1,1,1,0,98.62831249420569
1,0,0,1,1,1,0,0,0,0,0,88.92175812372238
1,0,0,1,1,1,0,0,0,1,0,125.6968868481705
1,0,0,1,1,1,0,1,0,0,0,73.77284274243219
1,0,0,1,1,1,0,1,0,1,0,110.54797146688028
1,0,0,1,1,1,0,0,1,0,0,97.33987263034129
1,0,0,0,0,0,1,1,0,0,0,10.426241478580097
1,0,0,1,1,1,0,1,1,0,0,82.1909572490511
1,0,0,1,1,1,0,0,1,1,0,134.1150013547894
1,0,0,1,1,1,0,1,1,1,0,118.96608597349919
1,0,0,1,0,1,1,0,0,0,0,55.741237018960895
1,0,0,1,0,1,1,0,0,1,0,92.516365743409
1,0,0,1,0,1,1,0,1,0,0,81.9465702746798
1,0,0,1,0,1,1,0,1,1,0,118.72169899912791
1,0,0,1,1,1,1,0,0,0,0,76.07901049825438
1,0,0,1,1,1,1,0,1,0,0,102.2843437539733
1,0,0,1,1,1,1,0,0,1,0,112.85413922270249
1,0,0,0,0,0,1,1,0,1,0,47.2013702030282
1,0,0,1,1,1,1,0,1,1,0,139.0594724784214
1,0,0,1,0,1,1,1,0,0,0,40.59232163767069
1,0,0,1,0,1,1,1,0,1,0,77.3674503621188
1,0,0,1,1,1,1,1,0,0,0,60.930095116964175
1,0,0,1,1,1,1,1,0,1,0,97.70522384141228
