$CS16MB,$CS32MB,$HAVE_SEQUENCE,$HAVE_CRYPTO,$PS1K,$HAVE_REPLICATION,$CS64MB,$DIAGNOSTIC,$HAVE_HASH,$PS4K,$CS512MB,$PS16K,$HAVE_VERIFY,$PS32K,$HAVE_STATISTICS,$PS8K,$<performance
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.37818258032489804
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-0.05100407285841757
0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,7.107325911005258
0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,2.081378169614512
0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,4.3568866596980795
0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,4.278171460252419
0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,6.470007508906729
0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,6.391292309461068
0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,4.441402520108309
0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,2.451817913116959
0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,4.362687320662649
0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,2.3731027136712983
0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,13.871561098763673
0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,6.656904492502358
0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,13.792845899318012
0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,14.782019318781902
0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,14.703304119336241
0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,14.163285642820458
0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,15.073743862838688
0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,14.084570443374798
0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,14.995028663393027
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,15.903568381336523
0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,15.824853181890862
0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,16.195292925393307
0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,6.948629036559144
0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,16.11657772594765
0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,12.711321145154754
0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,13.00304568921154
0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,12.632605945709093
0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,12.924330489765879
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0062328482501308
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.297957392306917
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1.31037528984347
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1.602099833900256
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1.2278287884603603
0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,6.7368861675028135
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1.5319712300536992
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1.5195533325171462
0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1.8236957741104853
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2.854678165206781
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,3.1464027092635667
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,-1.0264313507829903
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,-0.734706806726204
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,3.15882060680012
0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,-0.7222889091896513
0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,3.4505451508569056
0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,7.028610711559599
0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,-0.4305643651328651
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.38967692490551287
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0.6814014689622989
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0.6938193664988519
0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0.9855439105556378
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2.1570086752263626
0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2.4611511168197016
0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,2.448733219283149
0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,2.7528756608764877
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0.6112728651157422
0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,6.7914021615335995
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0.9029974091725282
0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,-1.7241008407634077
0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,-1.432376296706622
0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0.9154153067090812
0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,-1.4199583991700684
0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1.2071398507658673
0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,-1.1282338551132827
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1.592576694559586
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1.8843012386163722
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1.5138614951139249
0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,3.6634635146930554
0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1.805586039170711
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1.8435586134648152
0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1.7648434140191545
0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2.1352831575216014
0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,2.05656795807594
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0.976020771214968
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1.267745315271754
0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,2.0529450497281974
0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,2.3446695937849835
0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0.897305571769307
0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,7.09554460312694
0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1.9742298502825362
0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1.189030115826093
0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,2.2659543943393223
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,3.4410220115162358
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,3.732746555573022
0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,3.3623068120705746
0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,3.6540313561273607
0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,2.743352521535818
0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,2.664637322090157
0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,3.0350770655926036
0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,3.5847483152473947
