$CS16MB,$CS32MB,$HAVE_SEQUENCE,$HAVE_CRYPTO,$PS1K,$HAVE_REPLICATION,$CS64MB,$DIAGNOSTIC,$HAVE_HASH,$PS4K,$CS512MB,$PS16K,$HAVE_VERIFY,$PS32K,$HAVE_STATISTICS,$PS8K,$<performance
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.37818258032489804
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-0.11404100998641775
0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,6.71630856132426
0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,3.8887393031225113
0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,4.71840976456108
0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,5.022552206154419
0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,3.836788446091729
0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,4.140930887685068
0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,4.129307058931309
0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,3.247685740461958
0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,4.433449500524648
0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,3.5518281820552975
0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,4.998120617192676
0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,6.8606230435803575
0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,5.302263058786015
0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,4.409017911562905
0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,4.713160353156244
0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,4.889985196163462
0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,4.300882490533691
0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,5.194127637756801
0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,4.60502493212703
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,4.345274998761325
0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,4.6494174403546635
0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,4.008363877694111
0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,6.923571887599143
0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,4.31250631928745
0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,3.7561722931315544
0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,3.41926117206434
0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,4.060314734724893
0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,3.7234036136576796
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0062328482501308
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.297957392306917
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.9716625945544699
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1.263387138611256
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.8806573887033602
0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,6.957502158898812
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2.487628395327699
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1.1723819327601461
0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,2.7793529393844847
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3.1193536974587808
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,3.1823025414775667
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2.99377823791201
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,3.056727081930796
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,3.08478344376312
0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,4.600749244536349
0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,3.147732287781906
0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,7.020451002917598
0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,4.663698088555135
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.177808279852513
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1.469532823909299
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1.143238026156852
0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1.434962570213638
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3.290929129061163
