$CS16MB,$CS32MB,$HAVE_SEQUENCE,$HAVE_CRYPTO,$PS1K,$HAVE_REPLICATION,$CS64MB,$DIAGNOSTIC,$HAVE_HASH,$PS4K,$CS512MB,$PS16K,$HAVE_VERIFY,$PS32K,$HAVE_STATISTICS,$PS8K,$<performance
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.37818258032489804
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-0.9584321802974178
0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,8.988678531004158
0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,8.241941824422412
0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,4.73023677531808
0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,5.034379216911419
0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,9.27498484849763
0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,9.579127290090968
0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2.9144573043133084
0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,7.459205377492859
0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,3.2185997459066473
0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,7.7633478190861975
0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,5.380406212256675
0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,9.226667385870357
0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,5.6845486538500145
0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,3.5646267412519044
0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,3.8687691828452433
0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,6.614215298220461
0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,4.798435827215691
0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,6.918357739813801
0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,5.10257826880903
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,9.925154285436225
0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,10.229296727029563
0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,11.158963371400011
0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,8.748073380534143
0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,11.46310581299335
0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,8.109374814431455
0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,9.343183900395239
0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,8.413517256024793
0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,9.64732634198858
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0062328482501308
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.297957392306917
